"LOCATION"	"Country"	"VARIABLE"	"Variable"	"FREQUENCY"	"Frequency"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"HUN"	"Hungary"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2005"	"2005"	-9.95130148751596		
"ISL"	"Iceland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2005"	"2005"	-11.1828999110431		
"IRL"	"Ireland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2017"	"2017"	-8.74377985653448		
"ITA"	"Italy"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-14.0068853407922		
"JPN"	"Japan"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2011"	"2011"	-7.32236470739019		
"KOR"	"Korea"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-2.46867198526565		
"LUX"	"Luxembourg"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-7.70783002617641		
"MEX"	"Mexico"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2013"	"2013"	-8.58099568932346		
"NLD"	"Netherlands"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-9.96449067362181		
"NZL"	"New Zealand"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2009_10"	"2009-10"	-10.0429010443073		
"POL"	"Poland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-9.50672288474504		
"PRT"	"Portugal"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016"	"2016"	-11.3214003857647		
"SVK"	"Slovak Republic"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-11.1426374737556		
"ESP"	"Spain"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-14.3600630932107		
"SWE"	"Sweden"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2017"	"2017"	-7.78341126897065		
"CHE"	"Switzerland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-9.96882257238434		
"TUR"	"Turkey"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2009"	"2009"	-8.11003362033794		
"GBR"	"United Kingdom"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016"	"2016"	-13.9635749196247		
"USA"	"United States"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2012"	"2012"	-8.53981794298599		
"OTO"	"OECD - Total"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-9.29376074843499		
"BRA"	"Brazil"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2000"	"2000"	-9.09919055083375		
"CHL"	"Chile"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2013"	"2013"	-7.06890318430786		
"CHN"	"China (People's Republic of)"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-3.66967457547584		
"COL"	"Colombia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-7.90652871032208		
"CRI"	"Costa Rica"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2012"	"2012"	-4.91998607648974		
"EST"	"Estonia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-9.99634453683033		
"IND"	"India"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2011_12"	"2011-12"	-7.28207768714035		
"IDN"	"Indonesia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-3.85553693557473		
"ISR"	"Israel"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-8.33553575164426		
"LVA"	"Latvia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-10.1624576299571		
"RUS"	"Russia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016"	"2016"	-10.034133269942		
"ZAF"	"South Africa"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-8.1902432827524		
"WLD"	"World"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-7.60262685611334		
"NOR"	"Norway"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2017"	"2017"	-7.53668188844087		
"ARG"	"Argentina"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2004"	"2004"	-10.0560785251354		
"SVN"	"Slovenia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-9.07811705080244		
"LTU"	"Lithuania"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-10.3551085717663		
"EA17"	"Euro area (17 countries)"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-11.4587283919278		
